symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
ZS,2024-01-19,2024-01-25,229.1145,244.57765,218.0,0.0,0.06535807802052429,Leader rotation
PDD,2023-12-05,2024-01-30,138.72932999999998,124.987475,36.0,0.0,-0.10085524254153877,Supertrend down
ZS,2024-01-30,2024-02-16,243.531705,253.283295,20.0,0.0,0.03796437704293787,Leader rotation
CRWD,2023-10-19,2024-02-22,191.84587499999998,304.777535,78.0,0.0,0.5854841230030303,Supertrend down
DASH,2024-02-22,2024-03-01,122.451195,124.43775000000001,51.0,0.0,0.014192822919148806,Leader rotation
META,2024-02-16,2024-03-05,478.34905499999996,494.75250000000005,10.0,5.0,0.03326948982053324,Leader rotation
AMD,2024-03-05,2024-03-15,200.60025,184.73758500000002,24.0,0.0,-0.08091600615620387,Supertrend down
NVDA,2024-01-25,2024-04-22,623.81175,780.64948,85.0,3.4,0.24898208605269256,Supertrend down
CRWD,2024-03-15,2024-04-22,325.74278999999996,285.59713000000005,14.0,0.0,-0.12499519524703384,Supertrend down
CEG,2024-03-01,2024-06-05,167.12351999999998,204.38775500000003,144.0,101.66399999999999,0.22475090617070315,Supertrend down
MU,2024-06-05,2024-06-17,128.86440000000002,145.50721000000001,111.0,0.0,0.12689374492642136,Leader rotation
QCOM,2024-06-05,2024-06-18,207.033465,226.70659,73.0,0.0,0.09283602909423272,Leader rotation
NVDA,2024-05-07,2024-06-25,91.143549,121.13940000000001,770.0,7.7,0.32655963667547416,Supertrend down
AVGO,2024-06-18,2024-06-25,1840.5097949999997,1599.3299350000002,9.0,47.25,-0.129926268151612,Supertrend down
MU,2024-06-25,2024-06-28,140.14003499999998,132.75359,333.0,0.0,-0.05460029275761158,Supertrend down
NFLX,2024-06-28,2024-07-15,679.3394999999999,647.17625,86.0,0.0,-0.04924829108355877,Supertrend down
AMD,2024-07-15,2024-07-18,184.54222499999997,163.328295,33.0,0.0,-0.11672266474374748,Supertrend down
CRWD,2024-06-17,2024-07-19,382.941375,294.362745,42.0,0.0,-0.23284704441416737,Supertrend down
ARM,2024-06-25,2024-07-26,151.645785,155.28232000000003,304.0,0.0,0.02193454051087307,Supertrend down
AVGO,2024-08-16,2024-09-09,164.552235,139.04044500000003,234.0,0.0,-0.1567258754456483,Supertrend down
KLAC,2024-08-16,2024-09-09,828.9342599999999,714.672485,46.0,0.0,-0.13956437516884246,Supertrend down
META,2024-08-16,2024-09-23,532.16595,569.2152500000001,71.0,35.5,0.06842133979580511,Leader rotation
AVGO,2024-09-23,2024-09-27,172.08599999999998,178.080915,234.0,0.0,0.03276913273609727,Leader rotation
TTD,2024-09-20,2024-10-09,109.6548,114.34280000000001,257.0,0.0,0.040668925182872906,Leader rotation
ARM,2024-09-27,2024-10-21,150.075,152.1189025,275.0,0.0,0.011593993862209828,Leader rotation
CEG,2024-09-20,2024-11-05,235.27757999999997,230.234825,159.0,0.0,-0.02338839357477074,Supertrend down
TMUS,2024-11-05,2024-11-11,226.203045,235.772055,162.0,0.0,0.04022022322041252,Leader rotation
TTD,2024-10-21,2024-11-18,117.948945,117.911015,353.0,0.0,-0.0023189392966289635,Supertrend down
PYPL,2024-11-18,2024-11-26,86.0980275,87.3563,483.0,0.0,0.012587215636989502,Leader rotation
NVDA,2024-10-09,2024-12-02,134.177055,138.76058500000002,222.0,0.0,0.032094057168911005,Leader rotation
TMUS,2024-12-02,2024-12-10,247.06347,234.72258000000002,125.0,0.0,-0.051848483241234034,Supertrend down
APP,2024-11-26,2024-12-11,324.62222999999994,327.43620000000004,129.0,0.0,0.0066531235959468304,Supertrend down
NVDA,2024-12-11,2024-12-16,137.42868,134.11291000000003,319.0,0.0,-0.026077001264494748,Supertrend down
TTD,2024-12-10,2024-12-20,133.56674999999998,124.207865,207.0,0.0,-0.07192697705407625,Supertrend down
TSLA,2024-11-11,2025-01-02,346.47315,389.90495000000004,110.0,0.0,0.12310555415583924,Supertrend down
AVGO,2024-12-16,2025-01-28,231.905895,207.905995,184.0,108.55999999999999,-0.10273945819271202,Supertrend down
