trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
56,NVDA,2017-05-12,2017-07-11,3.173664401769638,3.836634432077408,18305,58384.39650876519,69878.44531278107,11494.048804015882,0.19686850410948908,Supertrend down,+19.69%
57,NVDA,2017-07-18,2017-07-20,4.054611123800277,4.137879477739334,16891,68828.86867457103,69543.45764720261,714.58897263158,0.010382111262212002,Leader rotation,+1.04%
58,VRTX,2017-07-20,2017-11-01,160.33985244750977,146.98163108825685,436,70257.71654544983,63763.571198707585,-6494.145346742247,-0.09243319689362772,Supertrend down,-9.24%
59,NVDA,2017-11-01,2017-12-06,5.246834241151809,4.630893673896789,12156,64099.419620618595,56011.677782389925,-8087.7418382286705,-0.12617496205265355,Supertrend down,-12.62%
60,DLTR,2017-12-19,2018-01-08,109.79379663467407,110.4831021308899,507,55943.78216824865,55734.85811645938,-208.92405178926856,-0.0037345357015894365,Leader rotation,-0.37%
61,TTWO,2018-01-08,2018-01-22,116.79124999999999,117.47557165145875,475,55753.222968749986,55521.892051770694,-231.33091697929194,-0.004149193618976144,Leader rotation,-0.41%
62,ALGN,2018-01-22,2018-02-12,270.3141146850586,232.666875,204,55419.79979273071,47226.7222875,-8193.077505230707,-0.14783664928189388,Supertrend down,-14.78%
63,NVDA,2018-02-16,2018-03-13,6.15033772945404,6.271531916856766,7631,47167.89334953109,47618.769757246315,450.87640771522274,0.009558968520685607,Leader rotation,+0.96%
64,MU,2018-03-13,2018-04-02,62.32542316436767,51.41115091323853,763,47792.06936378459,39030.57460606699,-8761.494757717599,-0.18332528543651638,Supertrend down,-18.33%
65,NFLX,2018-05-11,2018-07-24,33.047412652969356,36.602265243530276,1176,39058.07606629142,42829.04260675965,3770.966540468231,0.09654767772145112,Supertrend down,+9.65%
66,ALGN,2018-07-24,2018-08-30,379.9073914337158,382.122286605835,111,42380.569051388164,42203.49594418144,-177.07310720672103,-0.004178167286805756,Leader rotation,-0.42%
67,AMZN,2018-08-30,2018-09-05,100.12067970275878,101.6507385635376,423,42562.80275183829,42783.27110031452,220.4683484762354,0.005179836247196201,Leader rotation,+0.52%
68,ILMN,2018-09-05,2018-10-11,344.14615318298337,295.7179891204834,123,42541.62672571449,36191.44609851036,-6350.1806272041285,-0.14926981208656354,Supertrend down,-14.93%
69,ILMN,2018-12-04,2018-12-24,341.25959075927733,267.87922164916995,106,36354.38420358581,28253.221507337956,-8101.162696247855,-0.22283867197092555,Supertrend down,-22.28%
70,REGN,2019-01-10,2019-01-25,400.3984938812256,409.82288108825685,70,28168.03404454422,28544.16366779709,376.12962325286935,0.013353066197593577,Leader rotation,+1.34%
71,WDAY,2019-01-25,2019-03-05,173.54277561187743,179.87917682647705,165,28777.73076583957,29531.66385548687,753.9330896473002,0.026198489928964452,Leader rotation,+2.62%
72,SBUX,2019-03-05,2019-03-22,71.36797744750976,71.86987804412843,411,29478.89992458114,29390.8272767561,-88.0726478250399,-0.002987650422857202,Leader rotation,-0.30%
73,WDAY,2019-03-22,2019-04-26,196.740625,199.4501219558716,148,29263.200562499995,29371.02495922165,107.82439672165492,0.0036846412780913163,Leader rotation,+0.37%
74,MELI,2019-04-26,2019-09-04,492.4179774475097,584.5350000000001,59,29197.923972750086,34315.127175,5117.203202249915,0.17525914537710663,Supertrend down,+17.53%
75,QCOM,2019-09-06,2019-10-15,79.15739908218383,76.68779726028443,436,34685.189129831306,33268.70020745659,-1416.488922374716,-0.040838437324721144,Supertrend down,-4.08%
76,ASML,2019-10-16,2019-10-25,260.91065979003906,261.7938871765137,123,32252.471209945674,32039.644882097626,-212.8263278480481,-0.006598760338786702,Leader rotation,-0.66%
77,LRCX,2019-10-25,2019-11-08,26.56625,27.062174162864686,1238,33053.4625875,33335.45675555835,281.9941680583506,0.008531456191975373,Leader rotation,+0.85%
