trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
66,MELI,2023-03-02,2023-03-22,1195.5974999999999,1223.5878511962892,356,426058.34270999994,435161.6777508531,9103.335040853184,0.021366404851857146,Leader rotation,+2.14%,427735.4160117752,437735.4160117752,42.77354160117752,+4277.35%,20
67,NVDA,2023-03-22,2023-06-13,26.438211736679076,40.16590782356263,16540,437725.3101467965,663679.7712863241,225954.46113952762,0.5162014987521535,Leader rotation,+51.62%,653689.8771513028,663689.8771513028,65.36898771513027,+6536.90%,83
68,META,2023-06-13,2023-06-20,275.0174448852539,278.59064598083495,2402,661252.4945169942,668505.5569143196,7253.062397325411,0.010968673021979791,Leader rotation,+1.10%,660942.9395486282,670942.9395486282,66.09429395486282,+6609.43%,7
69,NVDA,2023-06-20,2023-08-16,43.019500099182125,44.49774045753479,15580,670914.0553568027,692581.5215320636,21667.466175260954,0.032295442318223344,Supertrend down,+3.23%,682610.4057238891,692610.4057238891,68.26104057238891,+6826.10%,57
70,NVDA,2023-08-30,2023-09-27,49.06852071762085,42.308836830139164,14101,692607.1258498108,596000.3112336507,-96606.81461616012,-0.13948284822745083,Supertrend down,-13.95%,586003.591107729,596003.591107729,58.6003591107729,+5860.04%,28
71,NVDA,2023-10-12,2023-10-25,46.800388927459714,43.37629981040955,12714,595615.1649685465,550934.7895137575,-44680.37545478903,-0.07501551015268149,Supertrend down,-7.50%,541323.21565294,551323.21565294,54.132321565294,+5413.23%,13
72,META,2023-10-25,2023-11-01,310.155,301.6990811004639,1772,550144.2546599999,534076.160938312,-16068.09372168791,-0.029207055396076598,Supertrend down,-2.92%,525255.1219312521,535255.1219312521,52.52551219312521,+5252.55%,7
73,CEG,2023-11-06,2023-11-09,119.04949286270141,121.52920133972168,4491,535185.9237188385,545241.8555734734,10055.931854634895,0.018789604526141757,Leader rotation,+1.88%,535311.053785887,545311.053785887,53.5311053785887,+5353.11%,3
74,NVDA,2023-11-09,2023-11-22,47.490732553482054,49.82707518959046,11471,545310.9593141136,570994.8131202924,25683.853806178784,0.04709946383341279,Leader rotation,+4.71%,560994.9075920657,570994.9075920657,56.099490759206574,+5609.95%,13
75,ZS,2023-11-22,2023-12-01,193.1265137786865,197.79105438995362,2953,570872.8977836496,583492.9066299194,12620.008846269804,0.02210651249212492,Leader rotation,+2.21%,573614.9164383356,583614.9164383356,57.36149164383355,+5736.15%,9
76,PDD,2023-12-01,2024-02-05,143.39166732788084,121.73910305023195,3945,566245.8077360984,479780.50077163184,-86465.30696446658,-0.15269924436202476,Supertrend down,-15.27%,487149.609473869,497149.609473869,48.7149609473869,+4871.50%,66
77,CRWD,2024-02-05,2024-02-28,76.288125,79.67513883972168,6510,497132.3294437499,518166.4686927416,21034.139248991676,0.042310946207274824,Supertrend down,+4.23%,508183.74872286065,518183.74872286065,50.818374872286064,+5081.84%,23
78,NVDA,2024-02-28,2024-03-14,77.65881274795532,89.5322149772644,6622,514770.914674977,592289.4452518654,77518.53057688841,0.15058840421439323,Leader rotation,+15.06%,585702.2792997491,595702.2792997491,58.570227929974905,+5857.02%,15
79,CRWD,2024-03-14,2024-04-26,83.291625,75.04745658493043,7144,595630.4043689999,535602.8908129002,-60027.51355609973,-0.10077980088959992,Supertrend down,-10.08%,525674.7657436493,535674.7657436493,52.56747657436493,+5256.75%,43
80,NVDA,2024-05-07,2024-07-01,91.14354857254028,123.40826622009278,5804,529526.1530709388,715545.315564277,186019.16249333823,0.35129362622513916,Supertrend down,+35.13%,711693.9282369876,721693.9282369876,71.16939282369876,+7116.94%,55
81,CRWD,2024-07-01,2024-07-02,96.36815969467163,95.51971350479127,7481,721651.1328785142,713868.3937526142,-7782.739125900087,-0.01078462815523673,Leader rotation,-1.08%,703911.1891110875,713911.1891110875,70.39111891110875,+7039.11%,1
82,ARM,2024-07-02,2024-08-01,156.9284311065674,128.64565171051026,4544,713795.8737391904,583981.275531186,-129814.59820800438,-0.18186515638984568,Supertrend down,-18.19%,574096.5909030831,584096.5909030831,57.40965909030831,+5740.97%,30
83,AVGO,2024-08-16,2024-08-20,164.55223622131348,166.96647805023196,3510,578155.927485947,585466.285618358,7310.358132410911,0.012644267376448637,Leader rotation,+1.26%,581406.949035494,591406.949035494,58.1406949035494,+5814.07%,4
84,NVDA,2024-08-20,2024-09-10,128.46419389343262,107.75609255981446,4560,586382.5208782068,490876.4142906812,-95506.10658752563,-0.16287338586506483,Supertrend down,-16.29%,485900.8424479684,495900.8424479684,48.590084244796834,+4859.01%,21
85,CEG,2024-09-20,2024-10-28,235.27758366394042,266.7565696411133,2105,495754.5729262071,560961.056515449,65206.48358924186,0.1315297672482545,Leader rotation,+13.15%,551107.3260372102,561107.3260372102,55.11073260372102,+5511.07%,38
86,TSLA,2024-10-28,2025-01-08,270.135,392.7535372009278,2061,557304.9832349999,808655.575130941,251350.59189594106,0.45101084586920615,Supertrend down,+45.10%,802457.9179331512,812457.9179331512,80.24579179331512,+8024.58%,72
87,MRVL,2025-01-23,2025-01-24,123.42168061065674,126.6166603050232,6479,800448.7177451215,819528.992774129,19080.27502900758,0.023836973694900898,Leader rotation,+2.38%,821538.1929621588,831538.1929621588,82.15381929621589,+8215.38%,1
88,PLTR,2025-01-24,2025-02-05,79.08952805328369,101.72910877990724,10461,828182.9085183659,1063124.0187396628,234941.1102212969,0.28368263556852535,Leader rotation,+28.37%,1056479.3031834557,1066479.3031834557,105.64793031834557,+10564.79%,12
89,APP,2025-02-05,2025-03-04,377.5586801147461,323.838,2821,1066158.1296403024,912633.451002,-153524.67863830237,-0.14399803778647557,Supertrend down,-14.40%,902954.6245451533,912954.6245451533,90.29546245451533,+9029.55%,27
90,PLTR,2025-04-28,2025-08-26,113.83688877868651,155.31230438995362,8011,912859.2633220636,1242962.6635974506,330103.400275387,0.36161477846440393,Supertrend down,+36.16%,1233058.0248205403,1243058.0248205403,123.30580248205403,+12330.58%,120
91,IDXX,2025-08-26,2025-09-10,641.6706505737304,652.583518157959,1935,1242874.3415690286,1261486.3585280152,18612.016958986642,0.014974978834538133,Leader rotation,+1.50%,1251670.041779527,1261670.041779527,125.16700417795269,+12516.70%,15
92,AVGO,2025-09-10,2025-09-15,351.69574900817867,359.6900601196289,3583,1261385.9945650005,1287480.7159232218,26094.721358221257,0.020687340330919346,Leader rotation,+2.07%,1277764.7631377482,1287764.7631377482,127.77647631377482,+12777.65%,5
93,WBD,2025-09-15,2025-10-01,18.779385457992554,19.520235686302186,68141,1280925.7505975636,1328798.251520417,47872.50092285336,0.03737336133692404,Leader rotation,+3.74%,1325637.2640606016,1335637.2640606016,132.56372640606017,+13256.37%,16
94,PLTR,2025-10-01,2025-10-09,181.41066732788084,183.48821183013916,7310,1327438.0901449758,1339957.529649839,12519.439504863229,0.009431279392846159,Leader rotation,+0.94%,1338156.7035654648,1348156.7035654648,133.8156703565465,+13381.57%,8
95,AMD,2025-10-09,2025-10-29,236.41815305328367,264.05790744018555,5696,1347984.437591295,1502569.7669385176,154585.32934722258,0.11467886797228166,Leader rotation,+11.47%,1492742.0329126874,1502742.0329126874,149.27420329126875,+14927.42%,20
96,MU,2025-10-29,2025-11-28,229.17452755737304,235.50218511962893,6550,1502594.248656294,1540996.773221036,38402.52456474188,0.025557481401971005,Supertrend down,+2.56%,1531144.5574774293,1541144.5574774293,153.11445574774294,+15311.45%,30
97,WDC,2026-01-28,2026-05-11,263.5817372131348,488.7854837799073,5841,1541120.5079889821,2852141.01474768,1311020.506758698,0.850693050908431,Leader rotation,+85.07%,2842165.0642361273,2852165.0642361273,284.2165064236127,+28421.65%,103
98,MU,2026-05-11,2026-06-05,793.3764704589844,943.9278244018556,3591,2851863.920323631,3386255.172609636,534391.2522860053,0.18738315263841976,Leader rotation,+18.74%,3376556.3165221326,3386556.3165221326,337.6556316522133,+33765.56%,25
99,WDC,2026-06-05,2026-07-06,545.522625,566.7165,6196,3383438.2426844994,3507864.058566,124425.81588150049,0.036774962909557285,Supertrend down,+3.68%,3500982.132403633,3510982.132403633,350.0982132403633,+35009.82%,31
