param_entry,param_market_filter,param_asset_filter,param_rs_period,param_st_period,param_st_multiplier,param_sell_confirm_bars,param_max_positions,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score
triple,none,ichimoku_cloud+ema_trend,50,,,1,9,2010-10-19 00:00:00,2026-07-16 00:00:00,1.1019938257960313,12.876328444685914,-11.774334618889883,-0.43959247141853985,0.04832918066886127,0.10994087435780181,0.3290058416216072,0.4622490762128767,0.5273703041144902,1.0170764960593317,2795,0.7601900239098477
triple,none,ichimoku_cloud+ema_trend,50,,,1,10,2010-10-19 00:00:00,2026-07-16 00:00:00,0.3703695212810725,12.876328444685914,-12.505958923404842,-0.47787664471490776,0.02021964063567383,0.042311422538208555,0.20062881517183798,0.27712934799539096,0.5200783545543585,0.9942789383436137,3063,-0.005912930035698603
triple,none,ichimoku_cloud+ema_trend,100,,,1,3,2010-10-19 00:00:00,2026-07-16 00:00:00,1.9734621304284108,12.876328444685914,-10.902866314257503,-0.5578501498136941,0.07168630423753708,0.12850458902176193,0.38014820454311854,0.5458492508836595,0.5581188997338066,0.9282389670841166,1127,1.5385864567137493
triple,none,ichimoku_cloud+ema_trend,100,,,1,4,2010-10-19 00:00:00,2026-07-16 00:00:00,2.614146987926909,12.876328444685914,-10.262181456759006,-0.5504287159563367,0.08505478148302092,0.1545246078508883,0.43234351951530514,0.6235051926254034,0.5587828492392808,0.9427283101142291,1446,2.1867743207472987
triple,none,ichimoku_cloud+ema_trend,100,,,1,5,2010-10-19 00:00:00,2026-07-16 00:00:00,1.9456697929737676,12.876328444685914,-10.930658651712147,-0.5000385286920808,0.07104710493767086,0.14208326131089197,0.3943358465635015,0.5594372645937771,0.5526011560693641,0.9531642691913137,1730,1.557469045417008
triple,none,ichimoku_cloud+ema_trend,100,,,1,6,2010-10-19 00:00:00,2026-07-16 00:00:00,2.063734556734887,12.876328444685914,-10.812593887951028,-0.47633490718954274,0.07372456818586715,0.1547746492501561,0.4110346733120131,0.5825764494500124,0.5372471632955106,1.0143520486903859,2027,1.694997671182613
triple,none,ichimoku_cloud+ema_trend,100,,,1,7,2010-10-19 00:00:00,2026-07-16 00:00:00,1.4603076031518976,12.876328444685914,-11.416020841534017,-0.4738690364185708,0.058865131847839036,0.12422236382594785,0.3614186695779583,0.5073938208571985,0.5293602103418055,1.0270616996924402,2282,1.0920549341043797
triple,none,ichimoku_cloud+ema_trend,100,,,1,8,2010-10-19 00:00:00,2026-07-16 00:00:00,1.192904811602034,12.876328444685914,-11.68342363308388,-0.4505203943843853,0.051153008223535634,0.11354204795419703,0.3356980952199499,0.46832164011885985,0.5313479623824452,1.0036061933207836,2552,0.8425594389511243
triple,none,ichimoku_cloud+ema_trend,100,,,1,9,2010-10-19 00:00:00,2026-07-16 00:00:00,1.3685714414524353,12.876328444685914,-11.507757003233479,-0.4113512462368979,0.05631189609041898,0.13689492035229878,0.36239974706004346,0.5058660065143984,0.5341926244181884,1.0032690470843677,2793,1.0503624368747182
triple,none,ichimoku_cloud+ema_trend,100,,,1,10,2010-10-19 00:00:00,2026-07-16 00:00:00,1.0401314489915845,12.876328444685914,-11.83619699569433,-0.40945079623782177,0.0463414881523756,0.1131796264122027,0.32318059391831294,0.44733776654584695,0.52354297003622,1.025550994903181,3037,0.7222662298188763
